LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID
Benedict Fountain,Benedict Fountain Park,310,Park,Neighborhood,2.91088055,Yes,1924,2009,NW,8,6,20th Av & Logan St,,401 E 20th Ave,,Denver,CO,,39.74797401,-104.98228625,PK,"Benches, Picnic Tables, Fountain, Passive Open Space",documents/parkart/ParkArt_Benedict Fountain Park.pdf,images/Parks/benedictfountainpark.jpg,Yes,2009-09-16 00:00:00,{00000000-0000-0000-0000-000000000000}
Centennial,Centennial Park,901,Park,Special Use,5.50004907,No,1976,None,NW,9,6,Speer Blvd & Elitch Cir,,1301 Elitch Cir,,Denver,CO,,39.75254786,-105.0099448,PK,"Benches, Fountain, Bike/Pedestrian Path, South Platte River Trail, Flower Beds, Natural Areas, Restroom, Drinking Fountain",documents/parkart/ParkArt_Centennial Park.pdf,images/Parks/centennialpark.jpg,Yes,2009-09-29 00:00:00,{00000000-0000-0000-0000-000000000000}
Denver Botanic Gardens,Denver Botanic Gardens,356,Park,Special Use,22.75185205,Partial,1950,2007,E,10,3,10th Av & York St,"66,355",1005 N York St,,Denver,CO,,39.7319543,-104.96187523,,"Gardens, Fountains, Paid Admission Required",0,images/Parks/no_imagerec.gif,Yes,2009-09-16 00:00:00,{00000000-0000-0000-0000-000000000000}
Florida & Raritan,Sanderson Gulch - Florida & Raritan,851,Park,Community,15.61242555,Partial,1951,2010,SW,7,4,Florida Av & Raritan St,,1800 W Florida Ave,,Denver,CO,,39.68889698,-105.01212294,,"Bike/Pedestrian Path, Sanderson Gulch Trail, Basball / Softball Field, Picnic Tables, Natural Areas",documents/parkart/ParkArt_Sanderson Gulch Open Space.pdf,images/Parks/sandersongulchpark.jpg,Yes,2009-08-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Lowry Open Space,Lowry Open Space,L28,Open Space,Open Space,57.86509148,Partial - 2014 May,2013,2000,NE,5,3,Yosemite St & Sports Blvd,,,,Denver,CO,,39.71717626,-104.8893935,,"Dog Park, Natural Areas, Bike/Pedestrian Path",,,No,2014-03-06 00:00:00,{00000000-0000-0000-0000-000000000000}
Montclair Rec Center,Montclair Recreation Center,L12,Grounds,Rec Center,5.61381789,No,2002,None,NE,5,3,8th Ave & Ulster Wy,"174,032",729 N Ulster Way,,Denver,CO,,39.72742602,-104.89508112,,Unlisted,0,,Yes,2014-01-01 00:00:00,{00000000-0000-0000-0000-000000000000}
Parkfield,Parkfield,516,Park,Regional,88.32405508,Yes - 2013 January,1992,2008,NE,11,5,53rd Av & Chambers Rd,"171,998",15555 E 53rd Ave,,Denver,CO,,39.79181259,-104.8050647,PK,"Recreation Center, Natural Areas, Picnic Shelter, Benches, Picnic Tables, Restroom, Playground, Skate Park, Tennis Court, Basketball Court, Baseball / Softball Field, Football Field, Soccer Field, Interactive Fountain, Lake, Picnic Area, Dog Park",documents/parkart/ParkArt_Parkfield.pdf,images/Parks/parkfieldpark.jpg,Yes,2009-05-19 00:00:00,{00000000-0000-0000-0000-000000000000}
Echo Lake,Echo Lake Park,M19,Park,Mountain,602.75909872,Yes,0,2008,MP,None,None,,,13261 State Highway 103,,Idaho Springs,CO,80452,39.6593635,-105.60132791,MP,"Echo Lake Lodge, Restaurant, Historic Shelter, Picnic Area, Picnic Tables, Grills, Restroom, Fishing, Trails & Trail Connections",documents/parkart/Echo_Lake_Parkmap.pdf,images/Parks/echolakepark.jpg,,2010-05-24 00:00:00,{00000000-0000-0000-0000-000000000000}
Skyline,Skyline Park,332,Park,Special Use,2.56072035,Yes,1973,2002,NW,8,6,Arapahoe St -15th St To 18th St,"55,156",1701 Arapahoe St,,Denver,CO,,39.74943629,-104.99408403,PK,"Plaza, Fountain, Picnic Tables, Restroom, Benches, Drinking Fountain",documents/parkart/ParkArt_Skyline Park.pdf,images/Parks/skylinepark.jpg,Yes,2009-12-11 00:00:00,{00000000-0000-0000-0000-000000000000}
Bergen ,Bergen Park,M04,Park,Mountain,21.22474476,Yes,0,2008,MP,None,None,,,1450 Old Highway 74,,Evergreen,CO,80439,39.68988123,-105.361994,MP,"Picnic Shelter, Picnic Area, Tables, Grills, Restroom, Volleyball Court, Horseshoe Pits, Trail Connections: Pioneer Trail, Buchanan Park Trail, Historic Stone Wellhouse",documents/parkart/Bergen_ParkMap.pdf,images/Parks/bergenmtnpark.jpg,,2010-05-14 00:00:00,{00000000-0000-0000-0000-000000000000}
Flying J. Ranch,Flying J. Ranch Tracts,M24,Conservation Tract,Mountain,76.57477528,Yes,1926,2008,MP,None,None,,,,,,CO,,39.54307178,-105.32764308,,"Scenic View, Wildlife Habitat, Natural Open Space",0,images/Parks/flyingjranchpark.jpg,,2010-05-21 00:00:00,{00000000-0000-0000-0000-000000000000}
